xPosition,yPosition,zPosition,Steering,Throttle,BPE,VN_ax,VN_ay,Velocity,TimeStamp,sector,microsector,laps,delta,dist1,driver
44.49586888242136,76.22254961890216,0.0,0.06488082022228628,1.0,0.0,6.094165341810253,11.225150594079167,17.46273630907809,7163,2,18,0.0,0.0014303875204330122,0.02497848008911774,Charlie
44.48290671136685,76.20119765009458,0.0,0.06636737749653795,1.0,0.0,6.240289570465459,11.186652273715474,17.47878524937896,7164,2,18,0.0,0.0014293146954052478,0.024982684614769823,Charlie
44.46995475742998,76.17983456506714,0.0,0.06783020415754161,1.0,0.0,6.386221472051873,11.147188504030483,17.49476718899672,7165,2,18,0.0,0.0014282499401818776,0.02498690019118044,Charlie
44.457013276052265,76.1584602060758,0.0,0.06935522683389665,1.0,0.0,6.53194314020727,11.106758848662981,17.510680922283196,7166,2,18,0.0,0.0014271933489341244,0.024991127347590236,Charlie
44.44408252267523,76.13707441537646,0.0,0.07056053302148937,1.0,0.0,6.677437266018099,11.06536284832009,17.526525246123832,7167,2,18,0.0,0.0014261450157652463,0.02499536662344326,Charlie
44.43116275274036,76.11567703522515,0.0,0.07189663475594717,1.0,0.0,6.8226863892121505,11.023000222383324,17.542298959843738,7168,2,18,0.0,0.001425105034760967,0.024999618568955384,Charlie
44.418254221689196,76.09426790787775,0.0,0.07335809380121133,1.0,0.0,6.967672899968367,10.979670873205137,17.55800086540042,7169,2,18,0.0,0.0014240734999112386,0.02500388374383533,Charlie
44.405357184963236,76.07284687559029,0.0,0.07479300892011694,1.0,0.0,7.112379040794044,10.935374890492172,17.57362976758045,7170,2,18,0.0,0.0014230505052118014,0.02500816271916051,Charlie
44.392471898004004,76.05141378061866,0.0,0.07612850158948581,1.0,0.0,7.256786908470156,10.890112555827423,17.589184474200685,7171,2,18,0.0,0.0014220361445856453,0.025012456076098033,Charlie
44.379598616253,76.02996846521883,0.0,0.0774858283272806,1.0,0.0,7.400878456065066,10.843884347316575,17.604663796313808,7172,2,18,0.0,0.001421030511899967,0.025016764406302627,Charlie
44.366737595151704,76.00851077164673,0.0,0.07869418132686748,1.0,0.0,7.544634695708051,10.796691213530586,17.620066548418663,7173,2,18,0.0,0.0014200337009312029,0.025021088311405038,Charlie
44.353889090141685,75.98704054215835,0.0,0.0799854768226769,1.0,0.0,7.688037277413885,4.567273244585312,17.635391549057235,7174,2,18,0.0,0.0014190458053814955,0.025025428403949945,Charlie
44.341053356664425,75.96555761900966,0.0,0.08136825546852605,0.41852454525043953,0.0,7.823291131792049,-10.661921974906974,17.641871528355537,7175,2,18,0.0,0.0014187715439245364,0.025029785306003305,Charlie
44.328230650161444,75.94406184445656,0.0,0.08268936498997226,0.0,0.37572583185319103,7.938480961024927,-10.619868816178066,17.62673820644195,7176,2,18,0.0,0.0014202377863466607,0.025034159650829224,Charlie
